"","imageName","timeStamp","LocalTime","altitude","ImageWidth","Date","videoLocalTime","minutes","seconds","datetime_utc6","OSD.height..m.","GIMBAL.pitch","nadir"
"104","DJI_0073.MP4_00_00_50_vlc00003.png","0:50","2023-04-09 08:04:22",39.8,3840,"2023-04-09",2023-04-09 08:04:22,0,50,2023-04-09 08:05:12,39.9,-89.9,TRUE
"105","DJI_0074.MP4_00_09_17_vlc00001.png","9:17","2023-02-17 16:47:52",123.6,1920,"2023-02-17",2023-02-17 16:47:52,9,17,2023-02-17 16:57:09,123.7,-89.9,TRUE
"106","DJI_0074.MP4_00_09_21_vlc00002.png","9:21","2023-02-17 16:47:52",123.2,1920,"2023-02-17",2023-02-17 16:47:52,9,21,2023-02-17 16:57:13,123.6,-90,TRUE
"107","DJI_0076.MP4_00_01_03_vlc00001.png","1:03","2023-04-09 08:22:54",50.8,3840,"2023-04-09",2023-04-09 08:22:54,1,3,2023-04-09 08:23:57,51.2,-90,TRUE
"108","DJI_0076.MP4_00_01_06_vlc00002.png","1:06","2023-04-09 08:22:54",50.3,3840,"2023-04-09",2023-04-09 08:22:54,1,6,2023-04-09 08:24:00,50.5,-90,TRUE
"109","DJI_0076.MP4_00_01_14_vlc00003.png","1:14","2023-04-09 08:22:54",50.1,3840,"2023-04-09",2023-04-09 08:22:54,1,14,2023-04-09 08:24:08,50.1,-90,TRUE
"110","DJI_0076.MP4_00_06_29_vlc00001.png","6:29","2023-02-18 08:32:57",119.1,1920,"2023-02-18",2023-02-18 08:32:57,6,29,2023-02-18 08:39:26,114.7,-90,TRUE
"111","DJI_0076.MP4_00_06_34_vlc00002.png","6:34","2023-02-18 08:32:57",118.9,1920,"2023-02-18",2023-02-18 08:32:57,6,34,2023-02-18 08:39:31,119,-90,TRUE
"112","DJI_0076.MP4_00_06_43_vlc00003.png","6:43","2023-02-18 08:32:57",119.1,1920,"2023-02-18",2023-02-18 08:32:57,6,43,2023-02-18 08:39:40,119,-90,TRUE
"113","DJI_0076.MP4_00_06_52_vlc00004.png","6:52","2023-02-18 08:32:57",119.3,1920,"2023-02-18",2023-02-18 08:32:57,6,52,2023-02-18 08:39:49,119.1,-90,TRUE
"114","DJI_0076.MP4_00_06_57_vlc00005.png","6:57","2023-02-18 08:32:57",119,1920,"2023-02-18",2023-02-18 08:32:57,6,57,2023-02-18 08:39:54,118.9,-90,TRUE
"115","DJI_0079.MP4_00_01_53_vlc00001.png","1:53","2023-04-09 08:40:33",32.2,3840,"2023-04-09",2023-04-09 08:40:33,1,53,2023-04-09 08:42:26,31.9,-90,TRUE
"116","DJI_0079.MP4_00_01_57_vlc00002.png","1:57","2023-04-09 08:40:33",32,3840,"2023-04-09",2023-04-09 08:40:33,1,57,2023-04-09 08:42:30,32.1,-90,TRUE
"117","DJI_0079.MP4_00_01_59_vlc00003.png","1:59","2023-04-09 08:40:33",31.9,3840,"2023-04-09",2023-04-09 08:40:33,1,59,2023-04-09 08:42:32,32,-90,TRUE
"118","DJI_0079.MP4_00_02_02_vlc00004.png","2:02","2023-04-09 08:40:33",31.9,3840,"2023-04-09",2023-04-09 08:40:33,2,2,2023-04-09 08:42:35,31.9,-89.9,TRUE
"119","DJI_0079.MP4_00_02_05_vlc00001.png","2:05","2023-04-09 08:40:33",32,3840,"2023-04-09",2023-04-09 08:40:33,2,5,2023-04-09 08:42:38,31.9,-89.9,TRUE
"120","DJI_0079.MP4_00_02_06_vlc00005.png","2:06","2023-04-09 08:40:33",32.1,3840,"2023-04-09",2023-04-09 08:40:33,2,6,2023-04-09 08:42:39,32,-89.9,TRUE
"121","DJI_0085.MP4_00_00_19_vlc00001.png","0:19","2023-04-09 09:19:49",120.2,3840,"2023-04-09",2023-04-09 09:19:49,0,19,2023-04-09 09:20:08,119.8,-90,TRUE
"122","DJI_0085.MP4_00_00_21_vlc00002.png","0:21","2023-04-09 09:19:49",119.9,3840,"2023-04-09",2023-04-09 09:19:49,0,21,2023-04-09 09:20:10,120.1,-89.9,TRUE
"123","DJI_0085.MP4_00_00_24_vlc00003.png","0:24","2023-04-09 09:19:49",119.9,3840,"2023-04-09",2023-04-09 09:19:49,0,24,2023-04-09 09:20:13,120,-89.9,TRUE
"124","DJI_0085.MP4_00_00_27_vlc00004.png","0:27","2023-04-09 09:19:49",119.9,3840,"2023-04-09",2023-04-09 09:19:49,0,27,2023-04-09 09:20:16,119.9,-89.9,TRUE
"125","DJI_0085.MP4_00_00_29_vlc00005.png","0:29","2023-04-09 09:19:49",119.8,3840,"2023-04-09",2023-04-09 09:19:49,0,29,2023-04-09 09:20:18,119.9,-89.9,TRUE
"126","DJI_0087.MP4_00_05_00_vlc00001.png","5:00","2023-04-09 09:33:46",46.8,3840,"2023-04-09",2023-04-09 09:33:46,5,0,2023-04-09 09:38:46,46.5,-90,TRUE
"127","DJI_0087.MP4_00_05_02_vlc00002.png","5:02","2023-04-09 09:33:46",46.8,3840,"2023-04-09",2023-04-09 09:33:46,5,2,2023-04-09 09:38:48,46.8,-89.9,TRUE
